Manufacturer,Model,City Fuel Efficiency (MPG/MPGe),Highway Fuel Efficiency (MPG/MPGe),Primary Fuel Type,Vehicle Class,Environmental Rating (1–10)
Honda,ADX AWD,25,30,Gasoline,Small Station Wagons,5
Honda,ADX FWD,26,31,Gasoline,Small Station Wagons,6
Honda,INTEGRA,30,37,Gasoline,Large Cars,6
Honda,INTEGRA,21,28,Gasoline,Large Cars,5
Honda,INTEGRA A-SPEC,29,36,Gasoline,Large Cars,6
Honda,INTEGRA A-SPEC,26,36,Gasoline,Large Cars,6
Honda,MDX AWD,19,25,Gasoline,Small SUV 4WD,4
Honda,MDX AWD Type-S,17,21,Gasoline,Standard SUV 4WD,4
Honda,MDX FWD,19,26,Gasoline,Small SUV 2WD,5
Honda,RDX AWD,21,27,Gasoline,Small SUV 4WD,5
Honda,RDX AWD A-SPEC,21,26,Gasoline,Small SUV 4WD,5
Honda,TLX AWD A-SPEC,21,29,Gasoline,Compact Cars,5
Honda,TLX FWD,22,31,Gasoline,Compact Cars,5
Honda,TLX Type-S,19,25,Gasoline,Compact Cars,4
FCA US LLC,Giulia,24,33,Gasoline,Midsize Cars,5
FCA US LLC,Giulia AWD,23,31,Gasoline,Midsize Cars,5
FCA US LLC,Stelvio AWD,22,28,Gasoline,Small SUV 4WD,5
FCA US LLC,Tonale AWD,21,29,Gasoline,Small SUV 4WD,5
aston martin,DB12 V8,15,22,Gasoline,Minicompact Cars,3
aston martin,DBX 707,15,20,Gasoline,Standard SUV 4WD,3
aston martin,Vanquish,13,21,Gasoline,Two Seaters,3
aston martin,Vantage,15,22,Gasoline,Two Seaters,4
Volkswagen Group of,A3 quattro,24,34,Gasoline,Subcompact Cars,6
Volkswagen Group of,A4 allroad quattro,23,30,Gasoline,Small Station Wagons,5
Volkswagen Group of,A4 quattro,26,36,Gasoline,Compact Cars,6
Volkswagen Group of,A4 S line quattro,23,32,Gasoline,Compact Cars,5
Volkswagen Group of,A5 quattro,22,31,Gasoline,Midsize Cars,5
Volkswagen Group of,A5 Sportback quattro,26,36,Gasoline,Midsize Cars,6
Volkswagen Group of,A5 Sportback S line quattro,23,32,Gasoline,Midsize Cars,5
Volkswagen Group of,A6 allroad quattro,22,30,Gasoline,Midsize Station Wagons,5
Volkswagen Group of,A6 quattro,24,31,Gasoline,Midsize Cars,5
Volkswagen Group of,A6 quattro,22,30,Gasoline,Midsize Cars,5
Volkswagen Group of,A7 quattro,22,30,Gasoline,Midsize Cars,5
Volkswagen Group of,A8 quattro,19,27,Gasoline,Large Cars,5
Volkswagen Group of,Q3,22,29,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q3 S line,20,28,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q5 quattro,23,29,Gasoline,Small SUV 4WD,5
Volkswagen Group of,Q5 S line quattro,22,28,Gasoline,Small SUV 4WD,5
